epoch,train_acc,val_acc,train_loss,val_loss,lr,epoch_seconds,cum_minutes
1,1.898000,4.210000,5.260132,4.795711,0.02656215,429.80,7.16
2,6.002000,8.500000,4.632207,4.362473,0.02655900,434.46,14.41
3,10.155000,12.550000,4.278916,4.071417,0.02655376,445.46,21.84
4,14.305000,14.740000,3.973719,6.286368,0.02654642,1345.31,44.27
5,17.503000,19.020000,3.755005,3.649761,0.02653699,986.40,60.72
6,19.736000,18.760000,3.609579,3.700168,0.02652546,944.46,76.46
7,21.704000,23.050000,3.488187,3.416537,0.02651185,997.65,93.09
8,23.626000,22.750000,3.379000,3.609762,0.02649614,5244.62,180.51
9,25.224000,26.150000,3.289124,3.242377,0.02647835,3319.74,235.84
10,26.304000,23.450000,3.227612,3.420206,0.02645847,565.30,245.27
11,27.443000,22.910000,3.166354,3.586027,0.02643651,732.43,257.47
12,28.194000,29.540000,3.114535,3.053841,0.02641247,811.21,270.99
13,29.336000,28.300000,3.061626,3.123841,0.02638637,862.89,285.38
14,30.144000,26.010000,3.014966,3.313360,0.02635819,1110.80,303.90
15,30.923000,30.360000,2.972698,3.014248,0.02632794,7153.12,423.11
16,31.831000,28.860000,2.927967,3.132234,0.02629564,3734.23,485.36
17,32.269000,29.390000,2.896224,3.090469,0.02626128,425.00,492.44
18,33.104000,33.260000,2.857845,2.890152,0.02622487,437.99,499.74
19,33.665000,27.270000,2.823309,3.297323,0.02618642,431.68,506.94
20,34.400000,30.420000,2.792093,3.064411,0.02614593,429.95,514.11
21,34.624000,32.440000,2.776527,2.931251,0.02610341,438.88,521.42
22,35.179000,27.830000,2.748097,3.288363,0.02605886,4145.86,590.52
23,35.622000,29.570000,2.732929,3.135306,0.02601230,1210.57,610.70
24,36.169000,30.620000,2.709146,3.020064,0.02596373,431.78,617.89
25,36.423000,27.540000,2.697193,3.397776,0.02591315,433.43,625.12
26,36.719000,33.090000,2.676455,2.923352,0.02586058,439.71,632.45
27,36.989000,28.570000,2.668298,3.216698,0.02580602,454.99,640.03
28,37.398000,29.900000,2.642007,3.110463,0.02574949,453.06,647.58
29,37.586000,33.740000,2.628268,2.874991,0.02569098,447.64,655.04
30,38.290000,34.130000,2.614772,2.850865,0.02563052,453.41,662.60
31,38.346000,34.130000,2.601424,2.889617,0.02556810,441.24,669.97
32,38.649000,33.960000,2.585776,2.919638,0.02550375,426.97,677.08
33,38.736000,32.390000,2.579025,3.006688,0.02543746,428.47,684.22
34,39.066000,24.680000,2.564587,3.754565,0.02536926,429.79,691.39
35,39.310000,35.210000,2.558835,2.764015,0.02529915,424.51,698.46
36,39.512000,33.460000,2.542536,2.914630,0.02522714,425.22,705.56
37,39.684000,37.430000,2.536580,2.705232,0.02515324,434.84,712.80
38,40.011000,37.090000,2.521270,2.710038,0.02507747,432.68,720.02
39,39.976000,31.610000,2.526062,3.016215,0.02499984,431.00,727.20
40,40.406000,34.830000,2.507657,2.812159,0.02492035,443.34,734.59
41,40.453000,35.670000,2.500966,2.793958,0.02483903,601.37,744.62
42,40.534000,37.030000,2.494682,2.708925,0.02475588,437.12,751.90
43,40.706000,36.910000,2.487941,2.745832,0.02467092,436.21,759.17
44,40.918000,37.680000,2.474364,2.707711,0.02458417,433.48,766.40
45,40.963000,35.180000,2.469118,2.817364,0.02449562,432.63,773.61
46,41.397000,35.860000,2.459413,2.808539,0.02440531,437.78,780.91
47,41.352000,36.050000,2.460255,2.778454,0.02431324,432.32,788.11
48,41.773000,37.400000,2.444261,2.668024,0.02421943,432.48,795.32
49,41.618000,37.560000,2.444255,2.652915,0.02412389,433.58,802.55
50,42.057000,33.770000,2.434106,2.970270,0.02402664,436.19,809.82
51,42.148000,37.940000,2.423259,2.660385,0.02392769,440.96,817.17
52,42.282000,35.380000,2.412386,2.805132,0.02382706,440.46,824.51
53,42.459000,38.790000,2.409389,2.607353,0.02372477,443.70,831.91
54,42.427000,36.060000,2.407293,2.773954,0.02362082,442.79,839.30
55,42.834000,35.800000,2.389522,2.836936,0.02351525,442.99,846.68
56,42.703000,39.870000,2.391554,2.552341,0.02340805,442.55,854.05
57,42.984000,37.280000,2.381894,2.724096,0.02329926,440.57,861.40
58,43.040000,39.340000,2.378004,2.627568,0.02318889,436.90,868.68
59,43.058000,34.770000,2.375055,2.876920,0.02307695,424.51,875.76
60,43.218000,37.810000,2.362734,2.687965,0.02296347,424.96,882.84
61,43.434000,40.980000,2.362056,2.503087,0.02284845,424.69,889.92
62,43.636000,38.120000,2.352788,2.684908,0.02273193,424.62,897.01
63,43.514000,38.940000,2.352966,2.613439,0.02261391,424.82,904.09
64,44.066000,40.270000,2.332850,2.559937,0.02249442,424.59,911.16
65,44.113000,39.010000,2.339794,2.624696,0.02237348,424.66,918.24
66,44.359000,38.780000,2.319043,2.634504,0.02225110,431.74,925.44
67,44.149000,39.520000,2.323695,2.562455,0.02212730,439.87,932.77
68,44.350000,35.530000,2.307828,2.808486,0.02200211,446.38,940.21
69,44.492000,37.400000,2.308193,2.710222,0.02187554,441.86,947.57
70,44.796000,39.340000,2.302541,2.575012,0.02174761,427.41,954.69
71,44.757000,38.230000,2.299401,2.678702,0.02161834,445.95,962.13
72,45.198000,37.850000,2.280078,2.707407,0.02148776,428.77,969.27
73,45.350000,38.650000,2.276141,2.615672,0.02135588,429.08,976.42
74,45.246000,40.160000,2.271660,2.542097,0.02122273,429.33,983.58
75,45.270000,40.940000,2.274944,2.522287,0.02108833,425.39,990.67
76,45.480000,40.140000,2.265166,2.570203,0.02095269,426.14,997.77
77,45.586000,35.110000,2.254929,2.860665,0.02081584,427.57,1004.90
78,45.571000,38.810000,2.256666,2.643338,0.02067780,426.89,1012.01
79,45.888000,38.720000,2.244827,2.620955,0.02053859,428.88,1019.16
80,46.063000,38.580000,2.238686,2.655276,0.02039824,425.00,1026.24
81,46.209000,39.800000,2.224551,2.625511,0.02025676,424.58,1033.32
82,46.184000,36.420000,2.223938,2.753046,0.02011418,436.16,1040.59
83,46.445000,40.150000,2.215082,2.537634,0.01997052,431.75,1047.79
84,46.622000,38.920000,2.208764,2.619370,0.01982581,427.89,1054.92
85,46.789000,35.970000,2.197629,2.823718,0.01968006,445.99,1062.35
86,46.801000,39.280000,2.203102,2.626626,0.01953330,429.61,1069.51
87,46.928000,37.580000,2.189508,2.746684,0.01938555,424.65,1076.59
88,47.380000,38.250000,2.175432,2.716339,0.01923684,426.17,1083.69
89,47.351000,41.370000,2.174792,2.533956,0.01908719,426.42,1090.80
90,47.545000,39.090000,2.167387,2.651884,0.01893663,581.83,1100.50
91,47.376000,37.690000,2.161761,2.757662,0.01878517,426.20,1107.61
92,47.796000,39.970000,2.151830,2.602835,0.01863284,426.52,1114.71
93,47.852000,40.430000,2.144685,2.562285,0.01847967,427.96,1121.85
94,48.102000,40.520000,2.141368,2.576867,0.01832567,425.70,1128.94
95,48.120000,42.750000,2.134596,2.421744,0.01817088,434.79,1136.19
96,48.592000,40.470000,2.122780,2.583181,0.01801532,458.92,1143.85
97,48.794000,39.860000,2.111635,2.644795,0.01785901,445.74,1151.27
98,48.731000,39.610000,2.112058,2.595772,0.01770197,436.27,1158.55
99,48.982000,38.670000,2.096940,2.707658,0.01754424,430.25,1165.72
96,48.377000,38.770000,2.127710,2.731982,0.01801322,452.63,7.54
97,48.731000,40.730000,2.110861,2.567621,0.01785483,456.31,15.15
98,48.631000,40.320000,2.106088,2.588669,0.01769574,453.15,22.70
99,49.070000,41.600000,2.098188,2.532350,0.01753597,457.40,30.32
100,49.115000,42.800000,2.092685,2.405659,0.01737554,459.93,37.99
101,49.141000,43.450000,2.083066,2.388602,0.01721449,455.73,45.59
102,49.320000,40.580000,2.075274,2.585078,0.01705283,439.36,7.32
103,49.561000,36.900000,2.066454,2.819304,0.01689059,427.09,14.44
104,49.811000,39.080000,2.059830,2.612769,0.01672781,430.38,21.61
105,50.117000,40.890000,2.048887,2.540526,0.01656449,440.26,28.95
106,50.148000,43.320000,2.040541,2.422951,0.01640068,434.60,36.19
107,50.261000,41.050000,2.038784,2.575651,0.01623639,433.76,43.42
108,50.845000,41.440000,2.021258,2.546011,0.01607166,432.87,50.64
109,50.745000,41.750000,2.012575,2.574090,0.01590650,443.01,58.02
110,51.000000,42.820000,2.006665,2.451667,0.01574094,5873.78,155.92
111,51.084000,40.730000,1.993775,2.578976,0.01557502,1392.83,179.13
112,51.444000,40.450000,1.981248,2.583289,0.01540875,746.92,191.58
113,51.600000,42.320000,1.979078,2.483014,0.01524216,790.41,204.75
114,51.741000,44.010000,1.969929,2.406415,0.01507529,882.38,219.46
115,51.977000,43.620000,1.957997,2.403129,0.01490814,2743.14,265.19
116,52.031000,45.380000,1.954322,2.340465,0.01474076,5432.11,355.72
117,52.627000,45.910000,1.931242,2.293271,0.01457317,2314.25,394.30
118,52.605000,42.000000,1.924853,2.564483,0.01440539,425.18,401.39
119,52.867000,44.120000,1.920014,2.392450,0.01423745,693.49,412.95
120,52.955000,44.640000,1.907733,2.345924,0.01406937,774.69,425.86
121,53.251000,43.980000,1.896905,2.396856,0.01390119,804.68,439.27
122,53.343000,41.790000,1.891309,2.505435,0.01373294,842.09,453.31
123,53.649000,44.250000,1.874056,2.428506,0.01356462,1692.13,481.51
124,54.006000,42.910000,1.864287,2.461583,0.01339629,672.42,492.72
125,54.002000,44.470000,1.859252,2.351971,0.01322795,793.41,505.94
126,54.623000,45.410000,1.839074,2.356647,0.01305964,430.37,513.11
127,54.916000,44.510000,1.821790,2.383208,0.01289138,430.89,520.30
128,54.764000,44.610000,1.820960,2.370625,0.01272320,434.03,527.53
129,55.334000,41.610000,1.798310,2.553966,0.01255513,443.57,534.92
130,55.247000,44.320000,1.800586,2.389471,0.01238719,1456.12,559.19
131,55.673000,43.920000,1.786159,2.436473,0.01221941,895.94,574.12
132,55.950000,45.540000,1.768266,2.383492,0.01205181,816.97,587.74
133,56.362000,39.710000,1.760854,2.668983,0.01188443,843.33,601.80
134,56.531000,46.130000,1.748746,2.285424,0.01171729,1394.69,625.04
135,56.883000,45.640000,1.732805,2.381982,0.01155041,432.19,632.25
136,57.079000,42.290000,1.723159,2.576634,0.01138382,432.75,639.46
137,57.543000,46.450000,1.703224,2.300377,0.01121755,436.11,646.73
138,57.698000,44.810000,1.699770,2.386764,0.01105163,443.51,654.13
139,58.088000,44.400000,1.680335,2.391336,0.01088607,1339.60,676.46
140,58.192000,46.440000,1.671539,2.291738,0.01072091,783.06,689.51
141,58.575000,42.940000,1.656053,2.503926,0.01055618,832.11,703.38
142,58.716000,42.990000,1.648331,2.503610,0.01039189,873.00,717.93
143,59.182000,46.200000,1.629175,2.313854,0.01022808,499.12,726.25
144,59.582000,46.110000,1.609387,2.306253,0.01006477,448.78,733.73
145,59.795000,45.510000,1.596443,2.367439,0.00990198,446.24,741.16
146,60.023000,47.080000,1.584808,2.290009,0.00973974,442.58,748.54
147,60.334000,45.140000,1.570785,2.396123,0.00957809,433.34,755.77
148,60.855000,44.510000,1.552479,2.441417,0.00941703,458.13,763.40
149,61.259000,46.180000,1.537182,2.351970,0.00925661,456.99,771.02
150,61.525000,46.950000,1.521081,2.304054,0.00909683,458.59,778.66
151,61.846000,45.990000,1.509894,2.383927,0.00893774,461.46,786.35
152,62.396000,47.510000,1.484529,2.296854,0.00877935,436.65,793.63
153,62.658000,45.970000,1.469977,2.379394,0.00862169,447.98,801.11
154,62.812000,46.490000,1.461316,2.338498,0.00846478,443.04,808.49
155,63.242000,45.320000,1.444088,2.393343,0.00830866,440.50,815.83
156,63.792000,44.580000,1.422222,2.452754,0.00815333,433.52,823.06
157,63.969000,47.370000,1.409221,2.322418,0.00799884,426.37,830.16
158,64.679000,43.560000,1.387183,2.518624,0.00784519,433.01,837.38
159,64.854000,46.640000,1.374130,2.415631,0.00769242,443.05,844.76
160,65.331000,43.110000,1.346728,2.617016,0.00754056,450.16,852.27
161,65.386000,45.060000,1.345831,2.464070,0.00738962,452.48,859.81
162,66.174000,45.910000,1.317824,2.474924,0.00723962,451.25,867.33
163,66.490000,49.210000,1.300096,2.239664,0.00709060,450.12,874.83
164,67.019000,46.970000,1.282299,2.370494,0.00694258,448.88,882.32
165,67.631000,47.730000,1.259762,2.338312,0.00679557,455.97,889.92
